學校代碼	學校名稱	科系代碼	科系名稱	日間∕進修別	等級別	學生數	教師數	上學年度畢業生數	縣市名稱	體系別
63	0001	國立政治大學	310702	東亞學系	D 日	D 博士	27	0	4	30 臺北市	1 一般
64	0001	國立政治大學	310702	東亞學系	D 日	M 碩士	64	6	16	30 臺北市	1 一般
65	0001	國立政治大學	310705	日本研究所	D 日	D 博士	9	0	0	30 臺北市	1 一般
66	0001	國立政治大學	310705	日本研究所	D 日	M 碩士	37	0	11	30 臺北市	1 一般
67	0001	國立政治大學	310709	俄羅斯研究所	D 日	M 碩士	30	3	9	30 臺北市	1 一般
68	0001	國立政治大學	310728	亞太研究英語學位學程	D 日	D 博士	54	0	5	30 臺北市	1 一般
69	0001	國立政治大學	310728	亞太研究英語學位學程	D 日	M 碩士	80	0	30	30 臺北市	1 一般
70	0001	國立政治大學	310801	公共行政學系	D 日	D 博士	18	0	4	30 臺北市	1 一般
71	0001	國立政治大學	310801	公共行政學系	D 日	M 碩士	118	0	27	30 臺北市	1 一般
72	0001	國立政治大學	310801	公共行政學系	D 日	B 學士	207	13	41	30 臺北市	1 一般
73	0001	國立政治大學	310804	行政管理(暨政策)學系	N 職	M 碩士	250	0	55	30 臺北市	1 一般
74	0001	國立政治大學	310811	地政學系	D 日	D 博士	21	0	3	30 臺北市	1 一般
75	0001	國立政治大學	310811	地政學系	D 日	M 碩士	83	0	25	30 臺北市	1 一般
76	0001	國立政治大學	310811	地政學系	D 日	B 學士	523	22	124	30 臺北市	1 一般
77	0001	國立政治大學	310811	地政學系	N 職	M 碩士	102	0	10	30 臺北市	1 一般
78	0001	國立政治大學	310905	外交學系	D 日	D 博士	12	0	3	30 臺北市	1 一般
79	0001	國立政治大學	310905	外交學系	D 日	M 碩士	66	0	21	30 臺北市	1 一般
80	0001	國立政治大學	310905	外交學系	D 日	B 學士	276	12	65	30 臺北市	1 一般
81	0001	國立政治大學	310905	外交學系	N 職	M 碩士	71	0	12	30 臺北市	1 一般
82	0001	國立政治大學	310909	國際研究英語學位學程	D 日	M 碩士	50	0	10	30 臺北市	1 一般
83	0001	國立政治大學	310999	國際事務學院(不分系)	D 日		0	8	0	30 臺北市	1 一般
84	0001	國立政治大學	311002	國家發展(與兩岸關係)研究所	D 日	D 博士	31	0	0	30 臺北市	1 一般
85	0001	國立政治大學	311002	國家發展(與兩岸關係)研究所	D 日	M 碩士	76	10	17	30 臺北市	1 一般
86	0001	國立政治大學	311003	勞工(關係)學系	D 日	M 碩士	82	5	15	30 臺北市	1 一般
